path,value v0.1.0,value v0.2.0,unit,description,notes
devices.dect.body.dect_ear_sar,0.007,0.007025455,W/kg/W,Whole body SAR from DECT phone held against ear,
devices.dect.body.dect_speaker_sar,0.0021,0.002116649,W/kg/W,Whole body SAR from DECT phone in speaker mode,
devices.tblt.shared.wifi_2_low_dutycycle,,0.009,,,
devices.tblt.shared.wifi_2_lowmed_dutycycle,,0.025,,,
devices.tblt.shared.wifi_2_medhigh_dutycycle,,0.176,,,
devices.tblt.shared.wifi_2_high_dutycycle,,0.669,,,
devices.tblt.shared.wifi_5_low_dutycycle,,0.03055,,,
devices.tblt.shared.wifi_5_lowmed_dutycycle,,0.052275,,,
devices.tblt.shared.wifi_5_medhigh_dutycycle,,0.064,,,
devices.tblt.shared.wifi_5_high_dutycycle,,0.14515,,,
devices.tblt.shared.wifi_2_pwr,11.7588,100,mW,,
devices.tblt.shared.wifi_5_pwr,11.7588,200,mW,,
devices.tblt.brain.tblt_2_sar,0.000999468,0.000999468,W/kg/W,,
devices.tblt.brain.tblt_5_sar,0.000163091,0.000163091,W/kg/W,,
devices.tblt.body.tblt_2_sar,9.00E-04,0.000860849,W/kg/W,,
devices.tblt.body.tblt_5_sar,0.000999468,0.000586175,W/kg/W,,
 wifi_2_low_dutycycle,,0.009,,,
wifi_2_lowmed_dutycycle,,0.025,,,
wifi_2_medhigh_dutycycle,,0.176,,,
wifi_2_high_dutycycle,,0.669,,,
wifi_5_low_dutycycle,,0.03055,,,
wifi_5_lowmed_dutycycle,,0.052275,,,
wifi_5_medhigh_dutycycle,,0.064,,,
wifi_5_high_dutycycle,,0.14515,,,
devices.lptp.shared.wifi_2_pwr,11.7588,100,mW,,
devices.lptp.shared.wifi_5_pwr,11.7588,200,mW,,
devices.lptp.shared.legs_prop,0.2,,none,,
devices.lptp.shared.tabl_prop,0.8,,none,,
devices.lptp.brain.wifi_2_legs_sar,5.19E-05,0.0000519,W/kg/W,,
devices.lptp.brain.wifi_2_tabl_sar,6.89E-05,0.0000689,W/kg/W,,
devices.lptp.brain.wifi_5_legs_sar,6.75E-06,0.00000675,W/kg/W,,
devices.lptp.brain.wifi_5_tabl_sar,9.50E-06,0.0000095,W/kg/W,,
devices.lptp.body.wifi_2_legs_sar,0.005,0.005001918,W/kg/W,,
devices.lptp.body.wifi_2_tabl_sar,0.00125,0.001261547,W/kg/W,,
devices.lptp.body.wifi_5_legs_sar,0.005,0.003303364,W/kg/W,,
devices.lptp.body.wifi_5_tabl_sar,0.00125,0.000883944,W/kg/W,,
devices.wifi.shared.wifi_2_pwr,0.017,0.017,mW,,
devices.wifi.shared.wifi_5_pwr,0.016,0.016,mW,,
devices.wifi.brain.wifi_2_sar,0.00133,0.00133,W/kg/W,,
devices.wifi.brain.wifi_5_sar,0.00133,0.00133,W/kg/W,,
devices.wifi.body.wifi_2_sar,0.005295,0.005295,W/kg/W,,
devices.wifi.body.wifi_5_sar,0.005295,0.005295,W/kg/W,,
devices.call.shared.native_prop,0.7,,none,,
devices.call.shared.data_prop,0.2,,none,,
devices.call.shared.wifi_prop,0.1,,none,,
devices.call.shared.native_pwr,6.78,9.72,mW,deprecated,
devices.call.shared.data_pwr,5.9,,mW,deprecated,
devices.call.shared.data_3_dutycycle,,0.54,,,
devices.call.shared.data_4_dutycycle,,0.0904,,,
devices.call.shared.data_5_dutycycle,,0.0491,,,
devices.call.shared.data_3g_sub_indo_pwr,,2.04,mW,,
devices.call.shared.data_3g_urb_indo_pwr,,0.605,mW,,
devices.call.shared.data_3g_rur_indo_pwr,,6.28,mW,,
devices.call.shared.data_3g_sub_outd_pwr,,0.87,mW,,
devices.call.shared.data_3g_urb_outd_pwr,,0.01,mW,,
devices.call.shared.data_3g_rur_outd_pwr,,2.68,mW,,
devices.call.shared.data_3g_travel_pwr,,0.87,mW,,
devices.call.shared.data_4g_sub_indo_pwr,,77.8985184,mW,,
devices.call.shared.data_4g_urb_indo_pwr,,64.1056383,mW,,
devices.call.shared.data_4g_rur_indo_pwr,,91.69139849,mW,,
devices.call.shared.data_4g_sub_outd_pwr,,68.40566226,mW,,
devices.call.shared.data_4g_urb_outd_pwr,,54.47906924,mW,,
devices.call.shared.data_4g_rur_outd_pwr,,82.33225528,mW,,
devices.call.shared.data_4g_travel_pwr,,74.3,mW,,
devices.call.shared.data_5g_sub_indo_pwr,,49.13,mW,,
devices.call.shared.data_5g_urb_indo_pwr,,46.35,mW,,
devices.call.shared.data_5g_rur_indo_pwr,,51.91,mW,,
devices.call.shared.data_5g_sub_outd_pwr,,40.045,mW,,
devices.call.shared.data_5g_urb_outd_pwr,,36.92,mW,,
devices.call.shared.data_5g_rur_outd_pwr,,43.17,mW,,
devices.call.shared.data_5g_travel_pwr,,31.52,mW,,
devices.call.shared.wifi_2_pwr,100,,mW,,
devices.call.shared.wifi_5_pwr,100,,mW,,
devices.call.shared.wifi_2_duty_cycle,0.02738,,none,,
devices.call.shared.wifi_5_duty_cycle,0.02738,0.04385,none,,
devices.call.shared.headp_face_prop,0.333,,none,,
devices.call.shared.headp_pock_prop,0.333,,none,,
devices.call.shared.headp_else_prop,0.333,,none,,
devices.call.shared.headp_phone_bt_pwr,0.15,,mW,,
devices.call.brain.native_ear_sar,0.061597475,0.055090544,W/kg/W,,aggregated value
devices.call.brain.native_headp_face_sar,0.003007437,0.002870465,W/kg/W,,aggregated value
devices.call.brain.native_headp_pock_sar,1.10E-05,8.00E-06,W/kg/W,,aggregated value
devices.call.brain.native_headp_else_sar,0,,W/kg/W,,
devices.call.brain.native_speaker_sar,0.005168032,0.004711923,W/kg/W,,aggregated value
devices.call.brain.data_ear_sar,0.061597475,0.055090544,W/kg/W,,aggregated value
devices.call.brain.data_headp_face_sar,0.003007437,0.002870465,W/kg/W,,aggregated value
devices.call.brain.data_headp_pock_sar,1.11E-05,8.21E-06,W/kg/W,,aggregated value
devices.call.brain.data_headp_else_sar,0,,W/kg/W,,
devices.call.brain.data_speaker_sar,0.00516803,0.004711923,W/kg/W,,aggregated value
devices.call.brain.wifi_2_ear_sar,0.016377585,,W/kg/W,,
devices.call.brain.wifi_2_headp_face_sar,0.000999468,,W/kg/W,,
devices.call.brain.wifi_2_headp_pock_sar,4.75E-07,,W/kg/W,,
devices.call.brain.wifi_2_headp_else_sar,0,,W/kg/W,,
devices.call.brain.wifi_2_speaker_sar,0.001272228,,W/kg/W,,
devices.call.brain.wifi_5_ear_sar,0.000606727,,W/kg/W,,
devices.call.brain.wifi_5_headp_face_sar,0.000163091,,W/kg/W,,
devices.call.brain.wifi_5_headp_pock_sar,2.14E-08,2.10E-08,W/kg/W,,
devices.call.brain.wifi_5_headp_else_sar,0,,W/kg/W,,
devices.call.brain.wifi_5_speaker_sar,0.000169973,,W/kg/W,,
devices.call.brain.bt_phone_face_sar,0.000999468,,W/kg/W,,
devices.call.brain.bt_phone_pock_sar,4.75E-07,,W/kg/W,,
devices.call.brain.bt_phone_else_sar,0,,W/kg/W,,
devices.call.brain.bt_headp_sar,0.01699017,,W/kg/W,,
devices.call.body.native_ear_sar,0.007,0.007224854,W/kg/W,,aggregated value
devices.call.body.native_headp_face_sar,0.00095,0.000988818,W/kg/W,,aggregated value
devices.call.body.native_headp_pock_sar,0.01235,0.010470367,W/kg/W,,aggregated value
devices.call.body.native_headp_else_sar,0,,W/kg/W,,
devices.call.body.native_speaker_sar,0.0021,0.002111751,W/kg/W,,aggregated value
devices.call.body.data_ear_sar,0.007,0.007224854,W/kg/W,,aggregated value
devices.call.body.data_headp_face_sar,0.00095,0.000988818,W/kg/W,,aggregated value
devices.call.body.data_headp_pock_sar,0.01235,0.010470367,W/kg/W,,aggregated value
devices.call.body.data_headp_else_sar,0,,W/kg/W,,
devices.call.body.data_speaker_sar,0.0021,0.002111751,W/kg/W,,aggregated value
devices.call.body.wifi_2_ear_sar,0.00515,0.005180701,W/kg/W,,
devices.call.body.wifi_2_headp_face_sar,9.00E-04,8.61E-04,W/kg/W,,aggregated value
devices.call.body.wifi_2_headp_pock_sar,0.01015,0.010153247,W/kg/W,,aggregated value
devices.call.body.wifi_2_headp_else_sar,0,,W/kg/W,,
devices.call.body.wifi_2_speaker_sar,0.00175,0.001750505,W/kg/W,,aggregated value
devices.call.body.wifi_5_ear_sar,0.00515,0.003516185,W/kg/W,,aggregated value
devices.call.body.wifi_5_headp_face_sar,9.00E-04,5.86E-04,W/kg/W,,aggregated value
devices.call.body.wifi_5_headp_pock_sar,0.01015,0.002646374,W/kg/W,,aggregated value
devices.call.body.wifi_5_headp_else_sar,0,,W/kg/W,,
devices.call.body.wifi_5_speaker_sar,0.00175,0.001182344,W/kg/W,,aggregated value
devices.call.body.bt_phone_face_sar,9.00E-04,,W/kg/W,,
devices.call.body.bt_phone_pock_sar,0.01015,,W/kg/W,,
devices.call.body.bt_phone_else_sar,0,,W/kg/W,,
devices.call.body.bt_headp_sar,0.00985,,W/kg/W,,
devices.data.shared.tech_3g_prop,0.1,,none,,
devices.data.shared.tech_4g_prop,0.75,,none,,
devices.data.shared.tech_5g_prop,0.15,,none,,
devices.data.shared.tech_3g_pwr,56.95982344,removed,mW,,
devices.data.shared.tech_4g_pwr,12.89889866,removed,mW,,
devices.data.shared.tech_5g_pwr,23.54376238,removed,mW,,
devices.data.shared.wifi_2_pwr,2.534323234,,mW,,
devices.data.shared.wifi_5_pwr,2.534323234,,mW,,
devices.data.shared.data_3g_high_ind_pwr,70,,mW,,
devices.data.shared.data_3g_high_otd_pwr,29.86,,mW,,
devices.data.shared.data_3g_high_tra_pwr,29.86,,mW,,
devices.data.shared.data_3g_low_ind_pwr,51.16,,mW,,
devices.data.shared.data_3g_low_otd_pwr,21.82,,mW,,
devices.data.shared.data_3g_low_tra_pwr,21.82,,mW,,
devices.data.shared.data_4g_high_ind_pwr,24.31,22.39,mW,,
devices.data.shared.data_4g_high_otd_pwr,24.33,19.66,mW,,
devices.data.shared.data_4g_high_tra_pwr,24.33,21.35,mW,,
devices.data.shared.data_4g_low_ind_pwr,1.49,1.26,mW,,
devices.data.shared.data_4g_low_otd_pwr,1.49,1.11,mW,,
devices.data.shared.data_4g_low_tra_pwr,1.49,1.2,mW,,
devices.data.shared.data_5g_high_ind_pwr,46.43,20.26,mW,,
devices.data.shared.data_5g_high_otd_pwr,41.31,16.51,mW,,
devices.data.shared.data_5g_high_tra_pwr,41.31,9.06,mW,,
devices.data.shared.data_5g_low_ind_pwr,1.21,0.45,mW,,
devices.data.shared.data_5g_low_otd_pwr,1.08,0.37,mW,,
devices.data.shared.data_5g_low_tra_pwr,1.08,0.29,mW,,
devices.data.shared.wifi_2_high_pwr,22.49,7.21,mW,,
devices.data.shared.wifi_2_low_pwr,1.03,,mW,,
devices.data.shared.wifi_5_high_pwr,22.49,14.42,mW,,
devices.data.shared.wifi_5_low_pwr,1.03,6.54,mW,,
devices.data.shared.wifi_2_high_dutycycle,0.22,,none,,
devices.data.shared.wifi_2_low_dutycycle,0.01,,none,,
devices.data.shared.wifi_5_high_dutycycle,0.22,0.07,none,,
devices.data.shared.wifi_5_low_dutycycle,0.01,0.03,none,,
devices.data.brain.data_face_sar,0.003007437,0.002870465,W/kg/W,,
devices.data.brain.wifi_2_face_sar,0.000999468,0.000999468,W/kg/W,,
devices.data.brain.wifi_5_face_sar,0.000163091,0.000163091,W/kg/W,,
devices.data.body.data_face_sar,0.00095,0.000988818,W/kg/W,,
devices.data.body.wifi_2_face_sar,9.00E-04,0.000860849,W/kg/W,,
devices.data.body.wifi_5_face_sar,9.00E-04,0.000586175,W/kg/W,,
devices.farf.shared.home_urban_pwr,0.05198939,0.49,mW/m2,,
devices.farf.shared.outdoor_urban_pwr,1.375066313,0.93,mW/m2,,
devices.farf.shared.work_urban_pwr,0.214854111,0.87,mW/m2,,
devices.farf.shared.home_suburb_pwr,0.021485411,0.268,mW/m2,,
devices.farf.shared.outdoor_suburb_pwr,0.513527851,0.613,mW/m2,,
devices.farf.shared.work_suburb_pwr,0.131083287,0.538,mW/m2,,
devices.farf.shared.home_rural_pwr,0.004244032,0.045,mW/m2,,
devices.farf.shared.outdoor_rural_pwr,0.067904509,0.295,mW/m2,,
devices.farf.shared.work_rural_pwr,0.067904509,0.205,mW/m2,,
devices.farf.shared.travel_pwr,1.120689655,0.64,mW/m2,,
devices.farf.brain.sar,0.006517857,0.0083632,W/kg/W/m2,aggregated value,
devices.farf.body.sar,0.00876,0.007579411,W/kg/W/m2,aggregated value,
devices.watch.shared.watch_pwr,8.00E-05,0.00008,mW,,
devices.watch.shared.watch_phone_pwr,8.00E-05,0.00008,mW,,
devices.watch.brain.watch_sar,1.70E-06,0.0000017,W/kg/W,,
devices.watch.brain.watch_phone_sar,0.000329981,0.000329981,W/kg/W,,
devices.watch.body.watch_sar,0.01365,0.01365,W/kg/W,,
devices.watch.body.watch_phone_sar,0.0036465,0.0036465,W/kg/W,,
devices.tracker.shared.tracker_pwr,8.00E-05,0.00008,mW,,
devices.tracker.shared.tracker_phone_pwr,8.00E-05,0.00008,mW,,
devices.tracker.brain.tracker_sar,3.10E-05,0.000031,W/kg/W,,
devices.tracker.brain.tracker_phone_sar,0.000329981,0.000329981,W/kg/W,,
devices.tracker.body.tracker_sar,0.0118,0.0118,W/kg/W,,
devices.tracker.body.tracker_phone_sar,0.0036465,0.0036465,W/kg/W,,
devices.headp.shared.headp_pwr,8.00E-05,0.00008,mW,,
devices.headp.shared.headp_phone_pwr,0.15,0.15,mW,,
devices.headp.brain.headp_sar,0.016990171,0.016990171,W/kg/W,,
devices.headp.brain.headp_phone_sar,0.000329981,0.000329981,W/kg/W,,
devices.headp.body.headp_sar,0.00985,0.009862,W/kg/W,,
devices.headp.body.headp_phone_sar,0.0036465,0.0036465,W/kg/W,,
devices.hots.shared.hots_pwr,5.595,5.595,mW,,
devices.hots.brain.hots_sar,0.000329981,0.000329981,W/kg/W,,
devices.hots.body.hots_sar,0.0036465,0.0036465,W/kg/W,,
devices.vr.shared.vr_pwr,14.5,10,mW,,
devices.vr.brain.vr_sar,0.0163776,0.000606721,W/kg/W,,
devices.vr.body.vr_sar,0.0101,0.0035162,W/kg/W,,
devices.smah.shared.smah_pwr,1.64109,1.64109,mW,,
devices.smah.brain.smah_sar,0.00133,0.00133,W/kg/W,,
devices.smah.body.smah_sar,0.005295,0.009862,W/kg/W,,
devices.game.shared.game_online_prop,,0.25,none,,
devices.game.shared.game_2_dutycycle,,0.0276,none,,
devices.game.shared.game_5_dutycycle,,0.0276,none,,
devices.game.shared.game_2_pwr,,100,mW,,
devices.game.shared.game_5_pwr,,200,mW,,
devices.game.brain.game_2_sar,,0.000999468,W/kg/W,,
devices.game.brain.game_5_sar,,0.000163091,W/kg/W,,
devices.game.body.game_2_sar,,0.000860849,W/kg/W,,
devices.game.body.game_5_sar,,0.000586175,W/kg/W,,
