sample_id,use_5g,travel_time,urbanicity,headp_ear_num,mpc_duration,mpc_ear_prop,mpc_headp_prop,mpd_wifi_prop,mpd_low_dt_dur,mpd_lowmed_dt_dur,mpd_medhigh_dt_dur,mpd_high_dt_dur,dect_duration,dect_ear_prop,lptp_duration,tblt_duration,wifi_duration,hotspot_duration,smartwatch_duration,tracker_duration,vr_duration,headphone_duration,smarthome_duration,gaming_duration
TEST15,TRUE,1800,suburban,2,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST16,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
TEST17,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
TEST18,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,86400,0,0,0,0,0,0,0,0,0,0,0
TEST19,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,86400,0.2,0,0,0,0,0,0,0,0,0,0
TEST20,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,86400,1,0,0,0,0,0,0,0,0,0,0
TEST21,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
TEST22,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
TEST23,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,86400,0,0,0,0,0,0,0,0,0
TEST24,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
TEST25,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
TEST26,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0,86400,0,0,0,0,0,0,0,0
TEST27,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST28,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST29,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST30,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST31,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST32,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST33,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST34,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST35,TRUE,1800,rural,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST36,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST37,TRUE,1800,urban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST38,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST39,TRUE,1800,urban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST40,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST41,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST42,TRUE,1800,urban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST43,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST44,TRUE,1800,urban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST45,TRUE,1800,urban,2,0,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST46,TRUE,1800,urban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST47,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST48,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TEST49,TRUE,1800,,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST50,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
