path;value;unit;description
devices.watch.shared.watch_pwr;8.00E-05;;
devices.watch.shared.watch_phone_pwr;8.00E-05;;
devices.watch.brain.watch_sar;1.70E-06;;
devices.watch.brain.watch_phone_sar;0.000329981;;
devices.watch.body.watch_sar;0.01365;;
devices.watch.body.watch_phone_sar;0.0036465;;
devices.tracker.shared.tracker_pwr;8.00E-05;;
devices.tracker.shared.tracker_phone_pwr;8.00E-05;;
devices.tracker.brain.tracker_sar;3.10E-05;;
devices.tracker.brain.tracker_phone_sar;0.000329981;;
devices.tracker.body.tracker_sar;0.0118;;
devices.tracker.body.tracker_phone_sar;0.0036465;;
devices.headp.shared.headp_pwr;8.00E-05;;
devices.headp.shared.headp_phone_pwr;0.15;;
devices.headp.brain.headp_sar;0.016990171;;
devices.headp.brain.headp_phone_sar;0.000329981;;
devices.headp.body.headp_sar;0.00985;;
devices.headp.body.headp_phone_sar;0.0036465;;
devices.hots.shared.hots_pwr;5.595;;
devices.hots.brain.hots_sar;0.000329981;;
devices.hots.body.hots_sar;0.0036465;;
devices.vr.shared.vr_pwr;14.5;;
devices.vr.brain.vr_sar;0.0163776;;
devices.vr.body.vr_sar;0.0101;;
devices.smah.shared.smah_pwr;1.64109;;
devices.smah.brain.smah_sar;0.00133;;
devices.smah.body.smah_sar;0.005295;;
